32072M1_1_122 ;32072;M1;S1
32109M1_1_122 ;32109;M1;S1
36003O7_1_114 ;     ;  ;
36163L7_1_321 ;     ;  ;
36162L7_1_321 ;     ;  ;
36019R7_1_216 ;     ;  ;
36017R7_1_216 ;     ;  ;
36226B7_1_221 ;36226;B7;S1
32148N1_1_217 ;32148;N1;S1
36700B7_1_317 ;     ;  ;
36015R7_1_216 ;     ;  ;
36262F7_1_121 ;     ;  ;
36093W7_1_318 ;     ;  ;
32132M1_1_122 ;32132;M1;S1
36018R7_1_216 ;     ;  ;
30084A3_1_221 ;30084;A3;S1
36207G7_1_318 ;36207;G7;S1
36158L7_1_221 ;36158;L7;S1
36020R7_1_216 ;     ;  ;
36021R7_1_216 ;     ;  ;
32097M1_1_122 ;32097;M1;S1
36051B7_1_116 ;     ;  ;
36186F7_1_418 ;     ;  ;
36227B7_1_221 ;36227;B7;S1
32434M1_1_122 ;32434;M1;S1
32435M1_1_122 ;32435;M1;S1
36034L7_1_216 ;     ;  ;
32370M1_1_122 ;32370;M1;S1
30061B3_1_421 ;30061;B3;S1
32796L1_1_121 ;32796;L1;S1
36218G7_1_418 ;36218;G7;S1
36310G7_1_221 ;36310;G7;S1
36369A7_1_221 ;36369;A7;S1
36086G7_1_216 ;     ;  ;
36064R7_1_122 ;     ;  ;
32099M1_1_122 ;32099;M1;S1
32025M1_1_122 ;32025;M1;S1
36148L7_1_121 ;     ;  ;
36050B7_1_116 ;     ;  ;
36309G7_1_221 ;36309;G7;S1
36160H7_1_320 ;     ;  ;
36265F7_1_221 ;36265;F7;S1
32027M1_1_122 ;32027;M1;S1
36178C7_1_221 ;     ;  ;
36016R7_1_216 ;     ;  ;
30025C3_1_221 ;30025;C3;S1
