30451F1_1_313 ;30451F1_1_313_13;10836_UARFCN                                      ;         1
30451F1_1_313 ;30451F1_1_313_14;10836_UARFCN                                      ;         1
30451F1_1_313 ;30451F1_1_313_15;10836_UARFCN                                      ;         1
30451F1_1_313 ;30451F1_1_313_7 ;3085_UARFCN                                       ;         1
30451F1_1_313 ;30451F1_1_313_8 ;3085_UARFCN                                       ;         1
30451F1_1_313 ;30451F1_1_313_9 ;3085_UARFCN                                       ;         1
30041W1_1     ;30041W1_1_2     ;3085_UARFCN                                       ;         1
30041W1_1     ;30041W1_1_3     ;3085_UARFCN                                       ;         1
30041W1_1     ;30041W1_1_1     ;3085_UARFCN                                       ;         1
30021F1_1     ;30021F1_1_1     ;3085_UARFCN                                       ;         1
30021F1_1     ;30021F1_1_2     ;3085_UARFCN                                       ;         1
30021F1_1     ;30021F1_1_3     ;3085_UARFCN                                       ;         1
30001W1_1     ;30001W1_1_1     ;3085_UARFCN                                       ;         1
30001W1_1     ;30001W1_1_2     ;3085_UARFCN                                       ;         1
30001W1_1     ;30001W1_1_3     ;3085_UARFCN                                       ;         1
30431H1_1_214 ;30431H1_1_214_7 ;3085_UARFCN                                       ;         1
30431H1_1_214 ;30431H1_1_214_8 ;3085_UARFCN                                       ;         1
30431H1_1_214 ;30431H1_1_214_9 ;3085_UARFCN                                       ;         1
30431H1_1_214 ;30431H1_1_214_13;10836_UARFCN                                      ;         1
30431H1_1_214 ;30431H1_1_214_14;10836_UARFCN                                      ;         1
30431H1_1_214 ;30431H1_1_214_15;10836_UARFCN                                      ;         1
30024W1_1     ;30024W1_1_1     ;3085_UARFCN                                       ;         1
30024W1_1     ;30024W1_1_2     ;3085_UARFCN                                       ;         1
30024W1_1     ;30024W1_1_3     ;3085_UARFCN                                       ;         1
30042H1_1_313 ;30042H1_1_313_7 ;3085_UARFCN                                       ;         1
30042H1_1_313 ;30042H1_1_313_15;10836_UARFCN                                      ;         1
30042H1_1_313 ;30042H1_1_313_8 ;3085_UARFCN                                       ;         1
30042H1_1_313 ;30042H1_1_313_9 ;3085_UARFCN                                       ;         1
30042H1_1_313 ;30042H1_1_313_14;10836_UARFCN                                      ;         1
30042H1_1_313 ;30042H1_1_313_13;10836_UARFCN                                      ;         1
30239A1_1_321 ;30239A1_1_321_13;10836_UARFCN                                      ;         1
30239A1_1_321 ;30239A1_1_321_14;10836_UARFCN                                      ;         1
30239A1_1_321 ;30239A1_1_321_15;10836_UARFCN                                      ;         1
30027G3_1_122 ;30027G3_1_122   ;10836_UARFCN                                      ;         1
30056F1_1     ;30056F1_1_2     ;3085_UARFCN                                       ;         1
30056F1_1     ;30056F1_1_3     ;3085_UARFCN                                       ;         1
30056F1_1     ;30056F1_1_1     ;3085_UARFCN                                       ;         1
30628F1_1     ;30628F1_1_2     ;3085_UARFCN                                       ;         1
30628F1_1     ;30628F1_1_3     ;3085_UARFCN                                       ;         1
30628F1_1     ;30628F1_1_1     ;3085_UARFCN                                       ;         1
30036N1_1_315 ;30036N1_1_315_8 ;3085_UARFCN                                       ;         1
30036N1_1_315 ;30036N1_1_315_9 ;3085_UARFCN                                       ;         1
30036N1_1_315 ;30036N1_1_315_7 ;3085_UARFCN                                       ;         1
30036N1_1_315 ;30036N1_1_315_15;10836_UARFCN                                      ;         1
30036N1_1_315 ;30036N1_1_315_14;10836_UARFCN                                      ;         1
30036N1_1_315 ;30036N1_1_315_13;10836_UARFCN                                      ;         1
32007A4_1_419 ;32007A4_1_419_1 ;10836_UARFCN                                      ;         1
32007A4_1_419 ;32007A4_1_419_7 ;10811_UARFCN                                      ;         1
30627A1_1_315 ;30627A1_1_315_1 ;3085_UARFCN                                       ;         1
30627A1_1_315 ;30627A1_1_315_2 ;3085_UARFCN                                       ;         1
30627A1_1_315 ;30627A1_1_315_3 ;3085_UARFCN                                       ;         1
30201F1_1_114 ;30201F1_1_114_1 ;3085_UARFCN                                       ;         1
30201F1_1_114 ;30201F1_1_114_2 ;3085_UARFCN                                       ;         1
30201F1_1_114 ;30201F1_1_114_3 ;3085_UARFCN                                       ;         1
30201F1_1_114 ;30201F1_1_114_7 ;10811_UARFCN                                      ;         1
30201F1_1_114 ;30201F1_1_114_8 ;10811_UARFCN                                      ;         1
30201F1_1_114 ;30201F1_1_114_9 ;10811_UARFCN                                      ;         1
30201F1_1_114 ;30201F1_1_114_13;10836_UARFCN                                      ;         1
30201F1_1_114 ;30201F1_1_114_14;10836_UARFCN                                      ;         1
30201F1_1_114 ;30201F1_1_114_15;10836_UARFCN                                      ;         1
30019F1_1     ;30019F1_1_3     ;3085_UARFCN                                       ;         1
30019F1_1     ;30019F1_1_2     ;3085_UARFCN                                       ;         1
30019F1_1     ;30019F1_1_1     ;3085_UARFCN                                       ;         1
30611F1_1     ;30611F1_1_3     ;3085_UARFCN                                       ;         1
30611F1_1     ;30611F1_1_1     ;3085_UARFCN                                       ;         1
30611F1_1     ;30611F1_1_2     ;3085_UARFCN                                       ;         1
30059F1_1     ;30059F1_1_3     ;3085_UARFCN                                       ;         1
30059F1_1     ;30059F1_1_1     ;3085_UARFCN                                       ;         1
30059F1_1     ;30059F1_1_2     ;3085_UARFCN                                       ;         1
30659F1_1_311 ;30659F1_1_311_1 ;3085_UARFCN                                       ;         1
30659F1_1_311 ;30659F1_1_311_2 ;3085_UARFCN                                       ;         1
30659F1_1_311 ;30659F1_1_311_3 ;3085_UARFCN                                       ;         1
